,Year_text,Location,Subcategory_ID,volume_litres,RSP
107,2016,7.0,12,2142475565.4450002,2455545057.501156
108,2016,7.0,13,28185824433.775,135772154291.02864
109,2016,7.0,14,11948141907.692,
110,2016,7.0,15,1930040.250434,
111,2016,7.0,16,486816.409449,4870.1633405246985
112,2016,7.0,17,1215105.0628840001,6297544.511095102
113,2017,1.0,1,27714370.263,314756062.27264285
114,2017,1.0,2,67702978.119,808453209.303353
115,2017,1.0,3,114569937.28400001,294893055.96577394
116,2017,1.0,4,70005771994.17,152507503289.5306
117,2017,1.0,6,158433658.35000002,1502111.5203056964
118,2017,1.0,7,325393944.90199995,1523844.87427952
119,2017,1.0,8,70120341928.6,152804745123.47113
120,2017,1.0,9,95417348.37799999,1134964.2491277892
121,2017,1.0,10,5427844667.09,27157222820.344555
122,2017,1.0,11,17118652156.210001,68394610250.37322
123,2017,1.0,12,47459275166.431,56954330218.27074
124,2017,1.0,13,70699586879.47,156953082872.42343
125,2017,1.0,14,5900671557.353,86233200095.40892
126,2017,1.0,15,12083157.28741,224094917.06118363
127,2017,1.0,16,921673.0799840001,5034.214350107835
128,2017,1.0,17,7476.556223,105739.86658242856
129,2017,2.0,1,227605297.609,2228136.0713302107
130,2017,2.0,2,17754017.081,208116533.5606111
131,2017,2.0,3,22669999.996,141933913.0184348
132,2017,2.0,4,1839494649.672,13330584663.50122
133,2017,2.0,6,14746774.184,135670322.4928
134,2017,2.0,7,6709263.485,19169324.242857143
135,2017,2.0,8,1862164649.687,13472191190.08248
136,2017,2.0,9,245359314.703,2446582.8808956286
137,2017,2.0,10,808663019.079,7095043.398544799
138,2017,2.0,11,997758253.352,6077527.47708097
139,2017,2.0,12,33073377.217,150333532.80454546
140,2017,2.0,13,2128980001.9859998,16071849033.310938
141,2017,2.0,14,657670687.308,9021482.71070214
142,2017,2.0,15,74911.119,5341.662192160001
143,2017,2.0,16,333642.582236,3600.1433125106105
144,2017,2.0,17,97976.378125,851794.6343112246
145,2017,3.0,1,63444483.616,245721492.10006347
146,2017,3.0,2,160879507.404,536598108.5462609
147,2017,3.0,3,874579646.5799999,2031023.8192577825
148,2017,3.0,4,22209224139.735,44337447461.99427
149,2017,3.0,6,77326975.287,307299408.2834026
150,2017,3.0,7,276070246.357,585148891.7349457
151,2017,3.0,8,23083803785.513,46368605862.52176
152,2017,3.0,9,224323991.025,782129629.4219866
153,2017,3.0,10,5608621892.237,16530885562.927813
